timestamp,action,target_decel,cost,predicted_risk,predicted_min_distance,predicted_min_ttc,ext_score,int_score,cross_score,fused_score,fused_level,lead_distance,lead_ttc,closing_speed,lead_warning_level,reasons
1782889706.173,EMERGENCY_BRAKE,6.50,1.1519,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.3191,1,10.620,0.720,14.730,2,TTC 0.7s critical | distance 10.6m | closing 14.7m/s | pred risk 1.00
1782889706.691,SLOW_DOWN,1.50,0.6436,0.7223,10.498,5.410,0.7326,0.0000,0.0000,0.2574,1,12.770,5.410,2.360,1,closing 2.4m/s | pred risk 0.72
1782889707.205,BRAKE,3.50,0.7564,0.7669,9.294,3.720,0.7267,0.0000,0.0000,0.2540,1,10.980,3.720,2.950,1,TTC 3.7s | distance 11.0m | closing 3.0m/s | pred risk 0.77
1782889707.727,BRAKE,3.50,0.7611,0.7763,9.039,5.180,0.7493,0.0000,0.0000,0.2605,1,9.770,5.180,1.890,1,distance 9.8m | closing 1.9m/s | pred risk 0.78
1782889708.239,EMERGENCY_BRAKE,6.50,1.1502,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.3016,1,6.450,0.310,20.500,0,TTC 0.3s critical | distance 6.5m | closing 20.5m/s | pred risk 1.00
1782889708.764,BRAKE,3.50,0.8854,0.9228,5.084,2.350,0.8648,0.0000,0.0000,0.3001,1,6.650,2.350,2.830,1,TTC 2.4s | distance 6.7m | closing 2.8m/s | pred risk 0.92
1782889709.291,EMERGENCY_BRAKE,6.50,1.1534,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.3341,1,4.030,0.510,7.960,2,TTC 0.5s critical | distance 4.0m | closing 8.0m/s | pred risk 1.00
1782889709.810,BRAKE,3.50,0.8857,0.9254,5.014,3.610,0.9048,0.0000,0.0000,0.3337,1,5.570,3.610,1.540,2,TTC 3.6s | distance 5.6m | closing 1.5m/s | pred risk 0.93
1782889710.343,SLOW_DOWN,1.50,0.7074,0.7500,6.947,1.777,1.0000,0.0000,0.0000,0.3493,1,14.470,2.470,5.860,2,TTC 2.5s | closing 5.9m/s | pred risk 0.75
1782889710.867,EMERGENCY_BRAKE,6.50,1.1506,1.0000,0.000,0.000,1.0000,0.0000,0.0000,0.3061,1,6.410,0.170,37.260,0,TTC 0.2s critical | distance 6.4m | closing 37.3m/s | pred risk 1.00
1782889711.384,BRAKE,3.50,0.9550,1.0000,2.704,1.271,1.0000,0.0000,0.0000,0.3497,1,6.640,1.400,4.750,2,TTC 1.4s | distance 6.6m | closing 4.8m/s | pred risk 1.00
1782889711.919,EMERGENCY_BRAKE,6.50,1.1549,1.0000,0.312,0.351,1.0000,0.0000,0.0000,0.3489,1,4.420,0.660,6.740,2,TTC 0.7s critical | distance 4.4m | closing 6.7m/s | pred risk 1.00
1782889712.436,EMERGENCY_BRAKE,6.50,1.0980,0.9400,1.475,0.810,0.9000,0.0000,0.0000,0.3267,1,2.480,0.810,3.050,1,TTC 0.8s critical | distance 2.5m critical | closing 3.0m/s | pred risk 0.94
1782889712.960,BRAKE,3.50,0.7818,0.7984,8.444,3.470,0.7378,0.0000,0.0000,0.2569,1,10.080,3.470,2.900,1,TTC 3.5s | distance 10.1m | closing 2.9m/s | pred risk 0.80
1782889713.494,KEEP,0.00,0.5223,0.6164,10.730,99.000,0.8219,0.0000,0.0000,0.2916,1,10.730,99.000,0.000,1,distance 10.7m | pred risk 0.62
1782889714.023,EMERGENCY_BRAKE,6.50,1.1299,0.9700,0.000,0.000,0.9500,0.0000,0.0000,0.3388,1,4.330,0.580,7.440,1,TTC 0.6s critical | distance 4.3m | closing 7.4m/s | pred risk 0.97
1782889714.564,BRAKE,3.50,0.8311,0.8476,7.114,2.480,0.8600,0.0000,0.0000,0.3302,1,9.910,2.480,3.990,2,TTC 2.5s | distance 9.9m | closing 4.0m/s | pred risk 0.85
1782889715.091,EMERGENCY_BRAKE,6.50,1.1286,0.9700,2.112,0.900,0.9500,0.0000,0.0000,0.3401,1,4.670,0.900,5.190,2,TTC 0.9s critical | distance 4.7m | closing 5.2m/s | pred risk 0.97
1782889715.632,BRAKE,3.50,0.8450,0.8732,6.424,2.470,0.7896,0.0000,0.0000,0.2735,1,8.680,2.470,3.520,1,TTC 2.5s | distance 8.7m | closing 3.5m/s | pred risk 0.87
1782889716.158,EMERGENCY_BRAKE,6.50,0.8494,0.6314,2.803,1.030,0.8419,0.0000,0.0000,0.2425,0,5.550,1.030,5.380,1,TTC 1.0s critical | distance 5.5m | closing 5.4m/s | pred risk 0.63
1782889716.704,BRAKE,3.50,0.9542,1.0000,2.644,1.367,1.0000,0.0000,0.0000,0.3424,1,5.150,1.370,3.770,1,TTC 1.4s | distance 5.2m | closing 3.8m/s | pred risk 1.00
